name,id,email,tutorial_group
"Minogue, Kylie",1007449501,kylie.minogue@myuni.edu,TUT0201
"Moon, Keith",1001791342,keith.moon@myuni.edu,TUT0201
"Bush, Kate",1001282371,kate.bush@myuni.edu,TUT0201
"Armstrong, Louis",1009684753,louis.armstrong@myuni.edu,TUT0201
"Kilmister, Ian Fraser",1009807313,ian fraser.kilmister@myuni.edu,TUT0101
"Oldfield, Mike",1006700015,mike.oldfield@myuni.edu,TUT0301
"Loaf, Meat",1004617261,meat.loaf@myuni.edu,TUT0401
"Sinatra, Nancy",1004323232,nancy.sinatra@myuni.edu,TUT0101
"Amos, Tori",1009429339,tori.amos@myuni.edu,TUT0301
"Peterson, Oscar",1002399342,oscar.peterson@myuni.edu,TUT0101
"Smith, Patti",1005621771,patti.smith@myuni.edu,TUT0201
"Robeson, Paul",1003477936,paul.robeson@myuni.edu,TUT0301
"Best, Pete",1009924981,pete.best@myuni.edu,TUT0101
"Lee, Peggy",1008099179,peggy.lee@myuni.edu,TUT0201
"Hancock, Herbie",1003111559,herbie.hancock@myuni.edu,TUT0201
"Starr, Ringo",1009320534,ringo.starr@myuni.edu,TUT0101
"Fripp, Robert",1005409347,robert.fripp@myuni.edu,TUT0401
"Schuldiner, Chuck",1005962106,chuck.schuldiner@myuni.edu,TUT0301
"Johnson, Robert",1008283885,robert.johnson@myuni.edu,TUT0201
"Orbison, Roy",1008540834,roy.orbison@myuni.edu,TUT0201
"Crow, Sheryl",1002220392,sheryl.crow@myuni.edu,TUT0201
"Combs, Sean",1001409392,sean.combs@myuni.edu,TUT0401
"Twain, Shania",1006026975,shania.twain@myuni.edu,TUT0301
"Man, Method",1002644122,method.man@myuni.edu,TUT0201
"Carey, Mariah",1008678405,mariah.carey@myuni.edu,TUT0201
"Summer, Donna",1009331358,donna.summer@myuni.edu,TUT0101
"Carter, Nick",1007181090,nick.carter@myuni.edu,TUT0301
"Guthrie, Woody",1008980620,woody.guthrie@myuni.edu,TUT0401
"Burton, Cliff",1008719454,cliff.burton@myuni.edu,TUT0101
"Petrucci, John",1009422784,john.petrucci@myuni.edu,TUT0401
"Houston, Whitney",1005430235,whitney.houston@myuni.edu,TUT0401
"Slim, Fatboy",1008310066,fatboy.slim@myuni.edu,TUT0101
"Williams, Robbie",1003019413,robbie.williams@myuni.edu,TUT0201
"Goodman, Benny",1009218991,benny.goodman@myuni.edu,TUT0101
"Curtis, Ian",1002157897,ian.curtis@myuni.edu,TUT0401
"Ellington, Duke",1004527632,duke.ellington@myuni.edu,TUT0401
"Portnoy, Mike",1002251412,mike.portnoy@myuni.edu,TUT0201
"Tyler, Bonnie",1006280050,bonnie.tyler@myuni.edu,TUT0201
"Mercury, Freddie",1009482771,freddie.mercury@myuni.edu,TUT0101
"May, Brian",1007015922,brian.may@myuni.edu,TUT0401
"Novoselic, Krist",1005153390,krist.novoselic@myuni.edu,TUT0301
"Furtado, Nelly",1003661255,nelly.furtado@myuni.edu,TUT0201
"Brubeck, Dave",1001330616,dave.brubeck@myuni.edu,TUT0101
"Corelli, Arcangelo",1009916098,arcangelo.corelli@myuni.edu,TUT0201
"Minogue, Dannii",1004324978,dannii.minogue@myuni.edu,TUT0401
"Schumann, Clara",1007182680,clara.schumann@myuni.edu,TUT0301
"Jarre, Jean Michel",1007028856,jean michel.jarre@myuni.edu,TUT0301
"Berry, Chuck",1007049719,chuck.berry@myuni.edu,TUT0201
"Jones, Tom",1005792013,tom.jones@myuni.edu,TUT0201
"Beckham, Victoria",1003105874,victoria.beckham@myuni.edu,TUT0101
"Michael, George",1005713244,george.michael@myuni.edu,TUT0201
"Bassey, Shirley",1007117883,shirley.bassey@myuni.edu,TUT0301
"Casals, Pablo",1008918431,pablo.casals@myuni.edu,TUT0201
"Fitzgerald, Ella",1002377352,ella.fitzgerald@myuni.edu,TUT0301
"Holiday, Billie",1009340338,billie.holiday@myuni.edu,TUT0301
"Turner, Ike",1001243637,ike.turner@myuni.edu,TUT0301
"Simon, Paul",1005459223,paul.simon@myuni.edu,TUT0201
"Miranda, Carmen",1008358386,carmen.miranda@myuni.edu,TUT0401
"Vedder, Eddie",1007516793,eddie.vedder@myuni.edu,TUT0301
"Shadow, DJ",1007092408,dj.shadow@myuni.edu,TUT0101
"Smith, Bessie",1004533562,bessie.smith@myuni.edu,TUT0201
"McLean, Don",1005984569,don.mclean@myuni.edu,TUT0101
"Richard, Cliff",1001832399,cliff.richard@myuni.edu,TUT0301
"Argerich, Martha",1004718695,martha.argerich@myuni.edu,TUT0101
"Hetfield, James",1006086357,james.hetfield@myuni.edu,TUT0201
"Yankovic, Weird Al",1002748261,weird al.yankovic@myuni.edu,TUT0401
"Coltrane, John",1005296043,john.coltrane@myuni.edu,TUT0101
"Mayfield, Curtis",1004492062,curtis.mayfield@myuni.edu,TUT0401
"Jones, John Paul",1008392271,john paul.jones@myuni.edu,TUT0301
"Gillespie, Dizzy",1004546975,dizzy.gillespie@myuni.edu,TUT0101
"Parker, Charlie",1001600271,charlie.parker@myuni.edu,TUT0101
"Jones, Quincy",1002160020,quincy.jones@myuni.edu,TUT0101
"Gabriel, Peter",1004484517,peter.gabriel@myuni.edu,TUT0301
"White, Barry",1005757573,barry.white@myuni.edu,TUT0401
"Jagger, Mick",1003575294,mick.jagger@myuni.edu,TUT0101
"Denver, John",1008744240,john.denver@myuni.edu,TUT0301
"John, Scatman",1002473705,scatman.john@myuni.edu,TUT0101
"Jackson, Janet",1003313743,janet.jackson@myuni.edu,TUT0301
"Springsteen, Bruce",1004722715,bruce.springsteen@myuni.edu,TUT0201
"Morissette, Alanis",1006051388,alanis.morissette@myuni.edu,TUT0301
"Waters, Muddy",1002779658,muddy.waters@myuni.edu,TUT0301
"Barker, Travis",1009453944,travis.barker@myuni.edu,TUT0301
"Jovi, Jon Bon",1006978739,jon bon.jovi@myuni.edu,TUT0101
"Miller, Glenn",1006543900,glenn.miller@myuni.edu,TUT0301
"Lopez, Jennifer",1007535208,jennifer.lopez@myuni.edu,TUT0101
"Gould, Glenn",1003740620,glenn.gould@myuni.edu,TUT0101
"Haza, Ofra",1006144420,ofra.haza@myuni.edu,TUT0301
"Liszt, Franz",1005629165,franz.liszt@myuni.edu,TUT0301
"Caruso, Enrico",1008362131,enrico.caruso@myuni.edu,TUT0301
"Basie, Count",1005630086,count.basie@myuni.edu,TUT0201
"Timberlake, Justin",1001248169,justin.timberlake@myuni.edu,TUT0101
"Stefani, Gwen",1008857084,gwen.stefani@myuni.edu,TUT0101
"Mozart, Leopold",1005537207,leopold.mozart@myuni.edu,TUT0101
"Martin, George",1009187885,george.martin@myuni.edu,TUT0201
"Entwistle, John",1004581568,john.entwistle@myuni.edu,TUT0101
"Morrison, Van",1008845525,van.morrison@myuni.edu,TUT0201
"Islam, Yusuf",1005322990,yusuf.islam@myuni.edu,TUT0201
"Gainsbourg, Serge",1008713147,serge.gainsbourg@myuni.edu,TUT0201
"Chao, Manu",1009278342,manu.chao@myuni.edu,TUT0201
"Drake, Nick",1008710583,nick.drake@myuni.edu,TUT0201
"Smith, Elliott",1005515637,elliott.smith@myuni.edu,TUT0201
"Jones, Brian",1005535533,brian.jones@myuni.edu,TUT0101
"Turner, Tina",1006258349,tina.turner@myuni.edu,TUT0201
"Martin, Ricky",1003515472,ricky.martin@myuni.edu,TUT0301
"Malakian, Daron",1009688993,daron.malakian@myuni.edu,TUT0101
"Osbourne, Ozzy",1009380002,ozzy.osbourne@myuni.edu,TUT0301
"Cave, Nick",1003146306,nick.cave@myuni.edu,TUT0201
"Young, Neil",1001389662,neil.young@myuni.edu,TUT0101
"Cocker, Joe",1006138816,joe.cocker@myuni.edu,TUT0201
"Carlisle, Belinda",1006624669,belinda.carlisle@myuni.edu,TUT0201
"Bellman, Carl Michael",1006614103,carl michael.bellman@myuni.edu,TUT0401
"Cline, Patsy",1004398737,patsy.cline@myuni.edu,TUT0201
"Levin, Tony",1003173019,tony.levin@myuni.edu,TUT0301
"Aznavour, Charles",1002611391,charles.aznavour@myuni.edu,TUT0301
"Brel, Jacques",1003298678,jacques.brel@myuni.edu,TUT0301
"Khan, Nusrat Fateh Ali",1002305401,nusrat fateh ali.khan@myuni.edu,TUT0301
"Shakur, Tupac",1001500773,tupac.shakur@myuni.edu,TUT0101
"Lewis, Jerry Lee",1007133475,jerry lee.lewis@myuni.edu,TUT0301
"Albarn, Damon",1005304839,damon.albarn@myuni.edu,TUT0401
"Shankar, Ravi",1003058691,ravi.shankar@myuni.edu,TUT0201
"Plant, Robert",1007135160,robert.plant@myuni.edu,TUT0301
"Anka, Paul",1001338348,paul.anka@myuni.edu,TUT0301
"Page, Jimmy",1009397571,jimmy.page@myuni.edu,TUT0301
"Beck, Jeff",1007700563,jeff.beck@myuni.edu,TUT0201
"Stewart, Rod",1003164152,rod.stewart@myuni.edu,TUT0301
"Ferry, Bryan",1008990511,bryan.ferry@myuni.edu,TUT0201
"Hallyday, Johnny",1002115701,johnny.hallyday@myuni.edu,TUT0301
"Gates, Synyster",1006278116,synyster.gates@myuni.edu,TUT0101
"Clayton, Adam",1005074037,adam.clayton@myuni.edu,TUT0301
"Joel, Billy",1006140793,billy.joel@myuni.edu,TUT0301
"Sutcliffe, Stuart",1004492605,stuart.sutcliffe@myuni.edu,TUT0101
"Sambora, Richie",1002345294,richie.sambora@myuni.edu,TUT0301
"Cooper, Alice",1006501677,alice.cooper@myuni.edu,TUT0401
"Richter, Sviatoslav",1007970025,sviatoslav.richter@myuni.edu,TUT0401
"Simmons, Gene",1002267681,gene.simmons@myuni.edu,TUT0201
"Tosh, Peter",1005893740,peter.tosh@myuni.edu,TUT0401
"Bennington, Chester",1009902057,chester.bennington@myuni.edu,TUT0101
"Hahn, Joe",1002789437,joe.hahn@myuni.edu,TUT0401
"Reznor, Trent",1008130634,trent.reznor@myuni.edu,TUT0101
"Horowitz, Vladimir",1002209905,vladimir.horowitz@myuni.edu,TUT0401
"Menuhin, Yehudi",1009081202,yehudi.menuhin@myuni.edu,TUT0401
"Norwood, Brandy",1006693331,brandy.norwood@myuni.edu,TUT0301
"Black, Rebecca",1007442340,rebecca.black@myuni.edu,TUT0401
"Gahan, Dave",1009821735,dave.gahan@myuni.edu,TUT0301
"Apple, Fiona",1008940845,fiona.apple@myuni.edu,TUT0101
"Oistrakh, David",1003766053,david.oistrakh@myuni.edu,TUT0101
"Richard, Little",1003809726,little.richard@myuni.edu,TUT0201
"Charles, Ray",1002891966,ray.charles@myuni.edu,TUT0101
"Domino, Fats",1002555312,fats.domino@myuni.edu,TUT0401
"Cooke, Sam",1001952692,sam.cooke@myuni.edu,TUT0201
"Franklin, Aretha",1004332082,aretha.franklin@myuni.edu,TUT0301
"Wonder, Stevie",1008695496,stevie.wonder@myuni.edu,TUT0101
"Springfield, Dusty",1005070675,dusty.springfield@myuni.edu,TUT0401
"Gaye, Marvin",1003320760,marvin.gaye@myuni.edu,TUT0101
"Santana, Carlos",1003294243,carlos.santana@myuni.edu,TUT0401
"Pastorius, Jaco",1006729214,jaco.pastorius@myuni.edu,TUT0101
"McLachlan, Sarah",1006062744,sarah.mclachlan@myuni.edu,TUT0201
"Reed, Lou",1009506628,lou.reed@myuni.edu,TUT0401
"Dio, Ronnie James",1005124891,ronnie james.dio@myuni.edu,TUT0101
"Assia, Lys",1001939997,lys.assia@myuni.edu,TUT0401
"Gibb, Robin",1008015207,robin.gibb@myuni.edu,TUT0201
"Nelson, Willie",1002200080,willie.nelson@myuni.edu,TUT0301
"Tankian, Serj",1002488485,serj.tankian@myuni.edu,TUT0101
"Odadjian, Shavo",1003928573,shavo.odadjian@myuni.edu,TUT0201
"Dolmayan, John",1005854536,john.dolmayan@myuni.edu,TUT0201
"Rose, Axl",1007259161,axl.rose@myuni.edu,TUT0301
"Smith, Robert",1008574593,robert.smith@myuni.edu,TUT0101
"Keys, Alicia",1002848173,alicia.keys@myuni.edu,TUT0401
"Martin, Dean",1004915840,dean.martin@myuni.edu,TUT0201
"Tatum, Art",1006397715,art.tatum@myuni.edu,TUT0201
"Coleman, Ornette",1007705781,ornette.coleman@myuni.edu,TUT0201
"Collins, Phil",1006270222,phil.collins@myuni.edu,TUT0101
"Townshend, Pete",1006878262,pete.townshend@myuni.edu,TUT0301
"Mathieu, Mireille",1005008571,mireille.mathieu@myuni.edu,TUT0301
"Ross, Diana",1003830634,diana.ross@myuni.edu,TUT0301
"Rostropovich, Mstislav",1001544303,mstislav.rostropovich@myuni.edu,TUT0101
"Vierne, Louis",1003065587,louis.vierne@myuni.edu,TUT0101
"Ashkenazy, Vladimir",1007556521,vladimir.ashkenazy@myuni.edu,TUT0301
"Evans, Bill",1007225868,bill.evans@myuni.edu,TUT0301
"Valo, Ville",1005168553,ville.valo@myuni.edu,TUT0101
"Mustaine, Dave",1001766406,dave.mustaine@myuni.edu,TUT0301
"Pop, Iggy",1009475263,iggy.pop@myuni.edu,TUT0401
"Richards, Keith",1009260572,keith.richards@myuni.edu,TUT0201
"Callas, Maria",1009189908,maria.callas@myuni.edu,TUT0301
"Vicious, Sid",1001701569,sid.vicious@myuni.edu,TUT0101
"Kroeger, Chad",1005643421,chad.kroeger@myuni.edu,TUT0201
"Dogg, Snoop",1001661754,snoop.dogg@myuni.edu,TUT0401
"Garfunkel, Art",1006203191,art.garfunkel@myuni.edu,TUT0301
"Strummer, Joe",1007388934,joe.strummer@myuni.edu,TUT0301
"Streisand, Barbra",1008840440,barbra.streisand@myuni.edu,TUT0401
"Hill, Lauryn",1009756825,lauryn.hill@myuni.edu,TUT0201
"Bonham, John",1001682067,john.bonham@myuni.edu,TUT0101
"Williams, Hank",1004855793,hank.williams@myuni.edu,TUT0401
"Burke, Solomon",1004604372,solomon.burke@myuni.edu,TUT0201
"Lavigne, Avril",1005012951,avril.lavigne@myuni.edu,TUT0401
"Hayes, Isaac",1009441669,isaac.hayes@myuni.edu,TUT0101
"Cruz, Celia",1009824175,celia.cruz@myuni.edu,TUT0301
"Jackson, Mahalia",1008093132,mahalia.jackson@myuni.edu,TUT0401
"Cole, Nat King",1003214767,nat king.cole@myuni.edu,TUT0301
"Vaughan, Stevie Ray",1001810792,stevie ray.vaughan@myuni.edu,TUT0301
"Vaughan, Sarah",1009048808,sarah.vaughan@myuni.edu,TUT0201
"Francis, Connie",1001990830,connie.francis@myuni.edu,TUT0401
"Warwick, Dionne",1002085014,dionne.warwick@myuni.edu,TUT0401
"Kristofferson, Kris",1009599831,kris.kristofferson@myuni.edu,TUT0201
"Gibb, Maurice",1001516355,maurice.gibb@myuni.edu,TUT0101
"Gibb, Barry",1001726186,barry.gibb@myuni.edu,TUT0201
"Hill, Faith",1006273777,faith.hill@myuni.edu,TUT0301
"Perlman, Itzhak",1001941233,itzhak.perlman@myuni.edu,TUT0301
"Wayne, Lil",1008010191,lil.wayne@myuni.edu,TUT0401
"Valens, Ritchie",1006828705,ritchie.valens@myuni.edu,TUT0401
"Rubio, Paulina",1004923951,paulina.rubio@myuni.edu,TUT0201
"Harvey, PJ",1006029723,pj.harvey@myuni.edu,TUT0101
"Estefan, Gloria",1005594036,gloria.estefan@myuni.edu,TUT0401
"Cyrus, Billy Ray",1002241096,billy ray.cyrus@myuni.edu,TUT0401
"Chapman, Tracy",1007521663,tracy.chapman@myuni.edu,TUT0101
"Geldof, Bob",1002395736,bob.geldof@myuni.edu,TUT0401
"Richie, Lionel",1003659023,lionel.richie@myuni.edu,TUT0201
"Cale, John",1007543193,john.cale@myuni.edu,TUT0401
"Khan, Chaka",1002986874,chaka.khan@myuni.edu,TUT0401
"Adderley, Cannonball",1007743069,cannonball.adderley@myuni.edu,TUT0301
"Rice, Tim",1007973177,tim.rice@myuni.edu,TUT0401
"Hamasaki, Ayumi",1009694054,ayumi.hamasaki@myuni.edu,TUT0201
"Badu, Erykah",1009815025,erykah.badu@myuni.edu,TUT0201
"Seeger, Pete",1008560463,pete.seeger@myuni.edu,TUT0201
"Waters, Roger",1004580043,roger.waters@myuni.edu,TUT0401
"Stanley, Paul",1002399617,paul.stanley@myuni.edu,TUT0301
"Gilmour, David",1005989239,david.gilmour@myuni.edu,TUT0401
"Veloso, Caetano",1008262439,caetano.veloso@myuni.edu,TUT0101
"Gil, Gilberto",1003325262,gilberto.gil@myuni.edu,TUT0201
"Gallagher, Liam",1008844281,liam.gallagher@myuni.edu,TUT0301
"Bacharach, Burt",1007189796,burt.bacharach@myuni.edu,TUT0201
"LaBrie, James",1002395827,james.labrie@myuni.edu,TUT0101
"Def, Mos",1001894208,mos.def@myuni.edu,TUT0301
"Elliott, Missy",1005407296,missy.elliott@myuni.edu,TUT0301
"Durst, Fred",1005375711,fred.durst@myuni.edu,TUT0401
"Taylor, Roger Meddows",1004338842,roger meddows.taylor@myuni.edu,TUT0301
"Manzarek, Ray",1004672231,ray.manzarek@myuni.edu,TUT0201
"Rule, Ja",1006518787,ja.rule@myuni.edu,TUT0101
"King, Carole",1001431653,carole.king@myuni.edu,TUT0401
"Rhymes, Busta",1005723992,busta.rhymes@myuni.edu,TUT0101
"Belafonte, Harry",1009476124,harry.belafonte@myuni.edu,TUT0301
"Imbruglia, Natalie",1004889822,natalie.imbruglia@myuni.edu,TUT0201
"Adams, Bryan",1004997569,bryan.adams@myuni.edu,TUT0401
"Gallagher, Noel",1004215697,noel.gallagher@myuni.edu,TUT0401
"Clark, Petula",1005036978,petula.clark@myuni.edu,TUT0401
"Knopfler, Mark",1009997183,mark.knopfler@myuni.edu,TUT0401
"Cube, Ice",1004331785,ice.cube@myuni.edu,TUT0201
"Hansen, Beck",1003032503,beck.hansen@myuni.edu,TUT0101
"Dion, Celine",1009339775,celine.dion@myuni.edu,TUT0301
"Cheung, Leslie",1006869810,leslie.cheung@myuni.edu,TUT0101
"Jarrett, Keith",1007923081,keith.jarrett@myuni.edu,TUT0101
"James, Etta",1007061957,etta.james@myuni.edu,TUT0401
"Diamond, Neil",1007057332,neil.diamond@myuni.edu,TUT0201
"McEntire, Reba",1003181881,reba.mcentire@myuni.edu,TUT0101
"Montgomery, Wes",1008016623,wes.montgomery@myuni.edu,TUT0201
"Marsalis, Wynton",1003109988,wynton.marsalis@myuni.edu,TUT0201
"Kravitz, Lenny",1005754478,lenny.kravitz@myuni.edu,TUT0201
"Mayer, John",1008081818,john.mayer@myuni.edu,TUT0101
"Kulthum, Umm",1008528480,umm.kulthum@myuni.edu,TUT0401
"Simone, Nina",1005700030,nina.simone@myuni.edu,TUT0101
"Rimes, LeAnn",1008461813,leann.rimes@myuni.edu,TUT0401
"Wood, Ron",1002391984,ron.wood@myuni.edu,TUT0201
"Staley, Layne",1005824005,layne.staley@myuni.edu,TUT0101
"King, Kerry",1002571630,kerry.king@myuni.edu,TUT0401
"Cornell, Chris",1006125332,chris.cornell@myuni.edu,TUT0101
"Mangeshkar, Lata",1003850663,lata.mangeshkar@myuni.edu,TUT0301
"Anderson, Ian",1008224121,ian.anderson@myuni.edu,TUT0201
"Frusciante, John",1001644918,john.frusciante@myuni.edu,TUT0401
"Pavarotti, Luciano",1008983879,luciano.pavarotti@myuni.edu,TUT0301
"Logan, Johnny",1004453796,johnny.logan@myuni.edu,TUT0101
"Stipe, Michael",1003274084,michael.stipe@myuni.edu,TUT0201
"Mitchell, Mitch",1005831503,mitch.mitchell@myuni.edu,TUT0101
"Jones, Norah",1004620956,norah.jones@myuni.edu,TUT0401
"International, Dana",1008559122,dana.international@myuni.edu,TUT0101
"Franz, Heinrich Ignaz",1007652387,heinrich ignaz.franz@myuni.edu,TUT0101
"Watts, Charlie",1001845415,charlie.watts@myuni.edu,TUT0401
"Erener, Sertab",1004199366,sertab.erener@myuni.edu,TUT0201
"Bisbal, David",1006703237,david.bisbal@myuni.edu,TUT0401
"Newsted, Jason",1009707110,jason.newsted@myuni.edu,TUT0101
"Lennox, Annie",1005295103,annie.lennox@myuni.edu,TUT0401
"Bunton, Emma",1006849907,emma.bunton@myuni.edu,TUT0201
"Lord, Jon",1005536526,jon.lord@myuni.edu,TUT0101
"Groban, Josh",1006347497,josh.groban@myuni.edu,TUT0401
"McKennitt, Loreena",1008206584,loreena.mckennitt@myuni.edu,TUT0401
"Gardel, Carlos",1004993341,carlos.gardel@myuni.edu,TUT0301
"Adu, Sade",1003311816,sade.adu@myuni.edu,TUT0101
"Friedman, Marty",1004328831,marty.friedman@myuni.edu,TUT0201
"Glazunov, Alexander",1006898806,alexander.glazunov@myuni.edu,TUT0101
"Myung, John",1008944191,john.myung@myuni.edu,TUT0101
"Dickinson, Bruce",1008476885,bruce.dickinson@myuni.edu,TUT0401
"Halliwell, Geri",1009056019,geri.halliwell@myuni.edu,TUT0101
"Rowland, Kelly",1004347969,kelly.rowland@myuni.edu,TUT0401
"Halford, Rob",1002291888,rob.halford@myuni.edu,TUT0401
"Chisholm, Melanie",1001876677,melanie.chisholm@myuni.edu,TUT0101
"Brown, Melanie",1006825018,melanie.brown@myuni.edu,TUT0301
"Cutugno, Toto",1004716275,toto.cutugno@myuni.edu,TUT0101
"Rogers, Kenny",1009104592,kenny.rogers@myuni.edu,TUT0201
"Mason, Nick",1003629566,nick.mason@myuni.edu,TUT0201
"Greenwood, Jonny",1005873464,jonny.greenwood@myuni.edu,TUT0201
"Yorke, Thom",1008412302,thom.yorke@myuni.edu,TUT0301
"Greenwood, Colin",1002653227,colin.greenwood@myuni.edu,TUT0201
"Selway, Phil",1006208568,phil.selway@myuni.edu,TUT0101
"Dassin, Joe",1006383405,joe.dassin@myuni.edu,TUT0401
"Gore, Martin",1002531573,martin.gore@myuni.edu,TUT0301
"Hikaru, Utada",1003227100,utada.hikaru@myuni.edu,TUT0201
"Rollins, Sonny",1005774281,sonny.rollins@myuni.edu,TUT0101
"Moore, Gary",1005185233,gary.moore@myuni.edu,TUT0401
"Metheny, Pat",1006253286,pat.metheny@myuni.edu,TUT0301
"Modugno, Domenico",1006484210,domenico.modugno@myuni.edu,TUT0301
"Rubinstein, Arthur",1005130774,arthur.rubinstein@myuni.edu,TUT0301
"Corea, Chick",1001800662,chick.corea@myuni.edu,TUT0401
"Lynott, Phil",1006136625,phil.lynott@myuni.edu,TUT0101
"Jean, Wyclef",1007441693,wyclef.jean@myuni.edu,TUT0301
"Harris, Steve",1002735954,steve.harris@myuni.edu,TUT0401
"Iglesias, Enrique",1004637286,enrique.iglesias@myuni.edu,TUT0201
"Vikernes, Varg",1009997820,varg.vikernes@myuni.edu,TUT0301
"Getz, Stan",1009944798,stan.getz@myuni.edu,TUT0101
"Goodrem, Delta",1007412049,delta.goodrem@myuni.edu,TUT0301
"Baker, Chet",1007531074,chet.baker@myuni.edu,TUT0401
"Gall, France",1002794967,france.gall@myuni.edu,TUT0301
"Brightman, Sarah",1003795382,sarah.brightman@myuni.edu,TUT0201
"Branch, Michelle",1006598863,michelle.branch@myuni.edu,TUT0401
"Heifetz, Jascha",1001622598,jascha.heifetz@myuni.edu,TUT0201
"Kreisler, Fritz",1002860720,fritz.kreisler@myuni.edu,TUT0201
"Trenet, Charles",1006923751,charles.trenet@myuni.edu,TUT0201
"Kiedis, Anthony",1009795954,anthony.kiedis@myuni.edu,TUT0301
"Taylor, Jayceon Terrell",1006911934,jayceon terrell.taylor@myuni.edu,TUT0401
"McFerrin, Bobby",1002973162,bobby.mcferrin@myuni.edu,TUT0301
"Brassens, Georges",1008839157,georges.brassens@myuni.edu,TUT0401
"Dogg, Nate",1007864814,nate.dogg@myuni.edu,TUT0401
"McLaughlin, John",1005296053,john.mclaughlin@myuni.edu,TUT0101
"Daniel, Arnaut",1008378056,arnaut.daniel@myuni.edu,TUT0201
"Coverdale, David",1006406604,david.coverdale@myuni.edu,TUT0401
"Whibley, Deryck",1003180928,deryck.whibley@myuni.edu,TUT0401
"Paul, Sean",1006926530,sean.paul@myuni.edu,TUT0101
"Levine, Adam",1005665316,adam.levine@myuni.edu,TUT0301
"Slovak, Hillel",1002235757,hillel.slovak@myuni.edu,TUT0401
"Anthony, Marc",1003895900,marc.anthony@myuni.edu,TUT0301
"Page, Patti",1007866125,patti.page@myuni.edu,TUT0401
"Moore, Mandy",1005955286,mandy.moore@myuni.edu,TUT0201
"Ulrich, Lars",1008383422,lars.ulrich@myuni.edu,TUT0101
"Celentano, Adriano",1001528391,adriano.celentano@myuni.edu,TUT0401
"Burdon, Eric",1002175253,eric.burdon@myuni.edu,TUT0101
"Sutherland, Joan",1006238568,joan.sutherland@myuni.edu,TUT0401
"Tebaldi, Renata",1004863431,renata.tebaldi@myuni.edu,TUT0301
"Kanawa, Kiri Te",1007546551,kiri te.kanawa@myuni.edu,TUT0301
"Schwarzkopf, Elisabeth",1005318410,elisabeth.schwarzkopf@myuni.edu,TUT0201
"Paice, Ian",1006155809,ian.paice@myuni.edu,TUT0101
"Iommi, Tony",1009949244,tony.iommi@myuni.edu,TUT0401
"Stradlin, Izzy",1001879765,izzy.stradlin@myuni.edu,TUT0101
"Zombie, Rob",1004696192,rob.zombie@myuni.edu,TUT0201
